driverId,driverName,eventType,routeName,eventDate
14,Adis Cesir,Normal,Joplin to Kansas City Route 2,2016-05-27-22
18,Grant Liu,Normal,Springfield to KC Via Hanibal,2016-05-27-22
27,Mark Lochbihler,Normal,Springfield to KC Via Columbia Route 2,2016-05-27-22
11,Jamie Engesser,Normal,Saint Louis to Memphis Route2,2016-05-27-22
22,Nadeem Asghar,Normal, Saint Louis to Chicago Route2,2016-05-27-22
22,Nadeem Asghar,Normal, Saint Louis to Chicago Route2,2016-05-27-22
23,Adam Diaz,Normal,Joplin to Kansas City Route 2,2016-05-27-22
11,Jamie Engesser,Normal,Saint Louis to Memphis Route2,2016-05-27-22
20,Chris Harris,Normal,Des Moines to Chicago Route 2,2016-05-27-22
32,Ryan Templeton,Normal,Peoria to Ceder Rapids Route 2,2016-05-27-22
27,Mark Lochbihler,Normal,Springfield to KC Via Columbia Route 2,2016-05-27-22
17,Eric Mizell,Normal,Springfield to KC Via Columbia,2016-05-27-22
14,Adis Cesir,Normal,Joplin to Kansas City Route 2,2016-05-27-22
28,Olivier Renault,Normal,Springfield to KC Via Hanibal Route 2,2016-05-27-22
15,Rohit Bakshi,Normal,Joplin to Kansas City,2016-05-27-22
16,Tom McCuch,Normal,Saint Louis to Memphis,2016-05-27-22
31,Rommel Garcia,Normal,Memphis to Little Rock Route 2,2016-05-27-22
25,Jean-Philippe Player,Normal,Memphis to Little Rock,2016-05-27-22
14,Adis Cesir,Normal,Joplin to Kansas City Route 2,2016-05-27-22
22,Nadeem Asghar,Normal, Saint Louis to Chicago Route2,2016-05-27-22
32,Ryan Templeton,Normal,Peoria to Ceder Rapids Route 2,2016-05-27-22
24,Don Hilborn,Normal,Peoria to Ceder Rapids Route 2,2016-05-27-22
25,Jean-Philippe Player,Normal,Memphis to Little Rock,2016-05-27-22
29,Teddy Choi,Normal,Wichita to Little Rock Route 2,2016-05-27-22
22,Nadeem Asghar,Normal, Saint Louis to Chicago Route2,2016-05-27-22
18,Grant Liu,Normal,Springfield to KC Via Hanibal,2016-05-27-22
19,Ajay Singh,Normal,Wichita to Little Rock.kml,2016-05-27-22
26,Michael Aube,Normal,Saint Louis to Tulsa Route2,2016-05-27-22
16,Tom McCuch,Normal,Saint Louis to Memphis,2016-05-27-22
21,Jeff Markham,Normal,Memphis to Little Rock Route 2,2016-05-27-22
13,Joe Niemiec,Normal,Des Moines to Chicago.kml,2016-05-27-22
19,Ajay Singh,Normal,Wichita to Little Rock.kml,2016-05-27-22
27,Mark Lochbihler,Normal,Springfield to KC Via Columbia Route 2,2016-05-27-22
25,Jean-Philippe Player,Normal,Memphis to Little Rock,2016-05-27-22
23,Adam Diaz,Normal,Joplin to Kansas City Route 2,2016-05-27-22
22,Nadeem Asghar,Normal, Saint Louis to Chicago Route2,2016-05-27-22
10,George Vetticaden,Normal,Saint Louis to Tulsa,2016-05-27-22
28,Olivier Renault,Normal,Springfield to KC Via Hanibal Route 2,2016-05-27-22
26,Michael Aube,Normal,Saint Louis to Tulsa Route2,2016-05-27-22
25,Jean-Philippe Player,Normal,Memphis to Little Rock,2016-05-27-22
23,Adam Diaz,Normal,Joplin to Kansas City Route 2,2016-05-27-22
13,Joe Niemiec,Normal,Des Moines to Chicago.kml,2016-05-27-22
27,Mark Lochbihler,Normal,Springfield to KC Via Columbia Route 2,2016-05-27-22
28,Olivier Renault,Normal,Springfield to KC Via Hanibal Route 2,2016-05-27-22
